id,pag_final,qtd_pg_word,qtd_carc,qtd_tabela,qtd_image,qtd_estilos,Data,tamanho_livro
224323,140,87,116142,505,742,60.0,2018-09-20,2
224325,122,82,108307,76,94,69.0,2018-09-20,2
225392,52,30,41144,28,24,23.0,2018-11-07,1
225392,52,42,62913,432,696,21.0,2018-11-05,1
225531,32,36,37548,270,456,17.0,2018-11-07,0
228711,48,77,101967,317,517,17.0,2019-03-28,0
226842,88,46,96474,99,114,37.0,2019-01-15,1
227130,66,66,112888,604,872,23.0,2020-11-09,1
228307,82,62,43155,40,73,25.0,2019-02-26,1
228354,92,76,129122,14,10,26.0,2019-02-27,1
228437,70,80,145034,175,370,35.0,2018-10-16,1
228603,96,13,45943,114,132,22.0,2019-03-21,1
228863,18,34,56363,118,135,71.0,2019-03-25,0
228837,70,52,70806,160,358,24.0,2019-03-28,1
229294,40,18,16595,134,152,17.0,2019-04-17,0
229323,46,18,16595,155,263,17.0,2019-04-17,1
229345,68,78,120783,365,562,47.0,2019-04-24,1
229428,34,50,92363,405,645,26.0,2019-05-02,0
229536,28,47,87338,85,111,28.0,2019-05-08,1
230059,86,54,85516,430,694,26.0,2019-05-10,1
230301,70,88,111407,307,484,60.0,2019-06-05,1
230277,84,91,160107,381,602,41.0,2019-05-06,1
230385,66,38,37614,542,795,20.0,2019-06-10,1
230630,110,80,96395,207,393,68.0,2019-06-24,1
231201,116,214,425343,350,554,19.0,2019-07-23,1
230874,48,22,19773,411,648,22.0,2019-07-09,0
230908,98,26,23341,151,174,25.0,2019-07-10,1
231055,340,38,39556,222,443,23.0,2019-07-19,2
231210,34,92,186373,153,261,38.0,2019-09-06,0
230571,46,14,15582,82,104,26.0,2019-06-19,1
231316,72,40,48816,132,150,20.0,2019-08-02,1
231431,112,81,105732,468,717,60.0,2019-08-05,1
231637,110,63,97543,569,849,28.0,2019-08-20,1
3,92,216,346608,157,339,54.0,2019-08-19,1
231829,71,63,74781,149,172,31.0,2019-08-20,1
231890,100,52,85757,550,836,22.0,2019-09-09,1
235502,43,24,31123,21,17,23.0,2020-05-27,0
235502,43,24,31123,19,22,23.0,2020-05-27,0
231938,76,26,22578,424,686,25.0,2019-09-09,1
231928,212,34,56358,104,119,25.0,2019-09-06,2
231931,74,33,53352,325,526,21.0,2019-09-03,1
232098,76,195,413596,26,20,19.0,2019-09-16,1
232174,38,29,24953,422,682,19.0,2019-09-18,1
231772,38,60,117669,88,111,26.0,2019-08-25,1
232211,46,38,36937,78,102,23.0,2019-09-23,1
0,48,70,95656,220,438,17.0,2020-11-09,0
232396,42,92,134991,420,680,37.0,2019-10-02,0
232393,340,29,25364,560,839,16.0,2020-11-09,2
232596,48,72,86532,246,451,55.0,2020-11-09,0
232625,66,107,144490,548,825,31.0,2019-10-10,1
232872,54,85,134002,591,856,31.0,2019-10-21,1
232943,72,68,110892,345,551,37.0,2019-10-25,1
231274,92,76,83989,403,638,50.0,2019-07-25,1
233072,98,41,42669,571,852,30.0,2019-10-24,1
233069,40,24,19149,211,400,22.0,2019-10-24,0
233263,76,112,223019,529,788,25.0,2019-11-07,1
233269,104,45,70054,315,495,40.0,2019-11-08,1
233405,96,19,17160,209,398,15.0,2019-11-14,1
233474,92,36,33348,213,416,48.0,2019-11-08,1
233550,100,51,79284,111,122,27.0,2019-11-25,1
0,386,70,95656,220,438,17.0,2020-11-09,2
233694,74,83,70528,44,84,27.0,2019-05-16,1
233867,40,31,58108,374,403,17.0,2019-12-06,0
233895,126,56,87983,807,606,27.0,2020-01-29,2
233885,68,72,97009,501,428,18.0,2020-02-05,1
233886,34,50,71279,830,633,15.0,2020-02-05,0
233887,48,28,47904,902,689,14.0,2020-02-05,0
