id,entidade,fornecedor,complexidade,stat_pagto,qtd_pag_word,qtd_pag_estimado,qtd_carc,qtd_tabela,qtd_image,qtd_estilos,pag_final
224323,0,0,1,0,87,140.0,116142,470,685,60.0,140
224325,0,0,1,0,82,122.0,108307,76,94,69.0,122
225392,0,0,3,0,41,70.0,41144,28,24,23.0,52
225392,0,0,3,0,41,70.0,62913,397,639,21.0,52
225531,0,0,2,0,36,48.0,37548,233,397,17.0,48
228711,2,0,1,0,77,108.0,101967,280,458,17.0,88
226842,0,0,1,0,46,66.0,96474,99,114,37.0,66
228307,0,0,1,0,62,95.0,43155,40,73,25.0,70
228354,0,0,1,0,76,110.0,129122,14,10,26.0,96
228437,0,0,2,0,18,18.0,145038,169,341,35.0,18
228603,0,0,2,0,33,48.0,1524,152,253,1.0,40
228863,0,0,2,0,34,48.0,56363,115,125,71.0,46
228837,0,0,1,0,57,88.0,1176,209,392,2.0,68
229294,0,0,2,0,22,46.0,16595,131,142,17.0,34
229323,0,0,2,0,18,45.0,16595,152,253,17.0,28
229345,0,0,1,0,78,120.0,120783,328,503,47.0,86
229428,0,0,1,0,50,90.0,92363,370,588,26.0,70
229536,2,0,1,0,38,92.0,87338,85,111,28.0,84
230059,0,0,1,0,54,94.0,85516,395,637,26.0,66
230301,0,0,1,0,88,130.0,111407,270,425,60.0,110
230277,0,0,1,0,91,134.0,160107,346,545,41.0,116
230385,0,0,2,0,38,56.0,37614,507,738,20.0,48
230630,0,0,1,0,80,120.0,96395,201,364,68.0,98
231201,0,0,0,0,214,420.0,425343,313,495,19.0,340
230874,0,0,2,0,22,48.0,19773,376,591,22.0,34
230908,0,0,2,0,26,65.0,23341,148,164,25.0,46
231055,0,0,1,0,38,75.0,39556,209,392,23.0,72
231210,2,0,1,0,83,120.0,186373,150,251,38.0,112
230571,0,0,0,0,80,120.0,15582,82,104,26.0,110
231316,0,0,1,0,40,75.0,48816,129,140,20.0,92
231431,0,0,1,0,81,120.0,105732,433,660,60.0,100
231637,0,0,1,0,63,92.0,97543,524,789,28.0,76
3,2,0,1,0,216,300.0,346608,154,329,54.0,212
231829,0,0,1,0,63,98.0,74781,146,162,31.0,74
231890,0,0,1,0,51,85.0,85757,515,779,22.0,76
235502,0,0,2,0,27,45.0,31123,21,17,23.0,38
235502,0,0,2,0,27,45.0,31123,7,8,23.0,38
231938,0,0,2,0,26,46.0,22578,389,629,25.0,46
231928,0,0,2,0,34,48.0,56358,104,119,25.0,48
231931,0,0,2,0,33,48.0,53352,288,467,21.0,42
232098,0,0,1,0,195,360.0,413596,26,20,19.0,340
232174,0,0,2,0,29,48.0,24953,387,625,19.0,48
231772,0,0,1,0,58,88.0,117669,88,111,26.0,66
232211,0,0,1,0,38,72.0,36937,78,102,23.0,72
232396,0,0,1,0,92,130.0,134991,385,623,37.0,98
232596,0,0,1,0,72,95.0,1294,154,329,2.0,76
232625,0,0,1,0,107,150.0,144490,513,768,31.0,104
232872,0,0,1,0,85,125.0,1016,389,629,4.0,96
232943,0,0,1,0,67,95.0,110892,308,492,37.0,92
231274,2,0,1,0,78,110.0,83989,368,581,50.0,100
233002,1,0,1,0,543,400.0,3076,330,505,19.0,386
233072,0,0,1,0,41,80.0,42669,526,792,30.0,74
233069,0,0,2,0,24,44.0,19149,205,371,22.0,40
233263,0,0,1,0,112,160.0,223019,494,731,25.0,126
233269,0,0,1,0,45,70.0,70054,278,436,40.0,68
233405,0,0,2,0,19,45.0,17160,203,369,15.0,34
233474,0,0,1,0,36,68.0,33348,207,387,48.0,48
233550,0,0,1,0,51,80.0,79284,111,122,27.0,70
233694,0,0,1,0,1,1.0,70528,12,67,27.0,1
233867,0,0,3,0,31,48.0,58108,171,237,17.0,52
233895,0,0,1,0,56,70.0,87983,329,280,27.0,66
233885,1,0,1,0,72,110.0,97009,270,255,18.0,86
233886,1,0,1,0,50,80.0,71279,347,303,15.0,68
233887,1,0,2,0,28,65.0,47904,373,335,14.0,46
233888,1,0,2,0,24,48.0,31755,315,268,13.0,30
233889,1,0,2,0,10,40.0,14968,366,323,12.0,20
233890,1,0,2,0,22,45.0,29631,280,262,12.0,30
