id,entidade,fornecedor,complexidade,stat_pagto,qtd_pag_word,qtd_pag_estimado,qtd_pg_word,qtd_carc,qtd_tabela,qtd_image,qtd_estilos,tamanho_livro
235806,0,0,0,0,64,90,64,82304,317,157,25,1
235832,0,0,1,0,34,48,34,70983,372,232,16,0
235874,0,0,1,0,44,48,44,69155,296,148,27,1
235876,0,0,1,0,30,48,30,23238,154,109,29,1
235878,0,0,0,0,68,98,67,87223,336,175,127,1
235880,0,0,1,0,26,48,26,17783,3,2,23,0
235881,0,0,1,0,23,46,23,14560,321,161,28,1
235883,0,0,1,0,22,46,22,14344,361,179,29,1
235882,0,0,1,0,20,46,20,12344,319,159,25,1
235798,0,0,0,0,142,198,142,247205,175,132,26,2
235905,0,0,0,0,75,110,75,97635,147,96,54,1
235909,0,0,0,0,38,68,38,75538,152,100,21,1
235964,0,0,0,0,48,75,48,72824,323,163,16,0
235979,1,0,0,0,45,70,45,72613,370,228,15,1
235980,1,0,0,0,81,114,11,163469,12,65,15,0
235981,1,0,1,0,28,48,28,65594,359,177,42,1
235984,1,0,1,0,30,48,30,78414,315,150,42,1
235985,1,0,0,0,424,460,424,660609,107,75,27,2
235986,1,0,0,0,373,420,374,586948,277,140,21,2
235983,1,0,1,0,30,48,30,66895,128,77,43,1
236021,0,0,1,0,29,48,29,22781,363,181,20,1
236025,1,0,1,0,24,48,24,33141,377,237,19,0
