Nº DA PLANILHA,Qtd_PG_word,Qtd_carac,Qtd_tabela,Qtd_image,Qtd_estilos,Data
228354,76,129122,14,10,26,2019-02-27
235502,24,31123,21,17,23,2020-05-27
232098,195,413596,26,20,19,2019-09-16
225392,30,41144,28,24,23,2018-11-07
228307,62,43155,40,73,25,2019-02-26
224325,82,108307,76,94,69,2018-09-20
232211,38,36937,78,102,23,2019-09-23
230571,14,15582,82,104,26,2019-06-19
229536,47,87338,85,111,28,2019-05-08
231772,60,117669,88,111,26,2019-08-25
226842,46,96474,99,114,37,2019-01-15
231928,34,56358,104,119,25,2019-09-06
233550,51,79284,111,122,27,2019-11-25
228603,13,45943,114,132,22,2019-03-21
228863,34,56363,118,135,71,2019-03-25
231316,40,48816,132,150,20,2019-08-02
229294,18,16595,134,152,17,2019-04-17
231829,63,74781,149,172,31,2019-08-20
230908,26,23341,151,174,25,2019-07-10
231210,92,186373,153,261,38,2019-09-06
229323,18,16595,155,263,17,2019-04-17
000003,216,346608,157,339,54,2019-08-19
228837,52,70806,160,358,24,2019-03-28
228437,80,145034,175,370,35,2018-10-16
230630,80,96395,207,393,68,2019-06-24
233405,19,17160,209,398,15,2019-11-14
233069,24,19149,211,400,22,2019-10-24
233474,36,33348,213,416,48,2019-11-08
000000,70,95656,220,438,17,2020-11-09
231055,38,39556,222,443,23,2019-07-19
232596,72,86532,246,451,55,2020-11-09
225531,36,37548,270,456,17,2018-11-07
230301,88,111407,307,484,60,2019-06-05
233269,45,70054,315,495,40,2019-11-08
228711,77,101967,317,517,17,2019-03-28
231931,33,53352,325,526,21,2019-09-03
232943,68,110892,345,551,37,2019-10-25
231201,214,425343,350,554,19,2019-07-23
229345,78,120783,365,562,47,2019-04-24
230277,91,160107,381,602,41,2019-05-06
231274,76,83989,403,638,50,2019-07-25
229428,50,92363,405,645,26,2019-05-02
230874,22,19773,411,648,22,2019-07-09
232396,92,134991,420,680,37,2019-10-02
232174,29,24953,422,682,19,2019-09-18
